title,price,location_date,size
"Moradia individual T3 com excelentes áreas, jardim e piscina em Gui...",450.000 €,Pinheiro - 24 de julho de 2024,270 m²
"Moradia T4 em banda em fase de construção (estrutura), em Frossos",180.000 €,Merelim (São Pedro) E Frossos - 24 de julho de 2024,182 m²
"Moradia nova T3 de gaveto em Palmeira, em fase de construção - a 7 ...",470.000 €,Palmeira - 24 de julho de 2024,"331,50 m²"
Moradia nova T3 em Palmeira - a 7 minutos do centro de Braga,419.500 €,Palmeira - 24 de julho de 2024,"331,50 m²"
Moradia T4 de gaveto em construção em Frossos - possibilidade de pi...,350.000 €,Merelim (São Pedro) E Frossos - 24 de julho de 2024,270 m²
Moradia geminada T3 nova em Ferreiros em fase de construção,275.000 €,Ferreiros E Gondizalves - 24 de julho de 2024,100 m²
Moradia geminada térrea T2 nova em Ferreiros em fase de construção,239.000 €,Ferreiros E Gondizalves - 24 de julho de 2024,67 m²
Moradia T4 nova individual com piscina em Gualtar - em fase de cons...,820.000 €,Gualtar - 24 de julho de 2024,285 m²
"Moradia T3 em Merelim S. Paio, Braga",370.000 €,"Merelim (São Paio), Panoias E Parada De Tibães - 24 de julho de 2024",195 m²
Moradia T3 - Cavalões - Empreendimento Pinhais de Seda,283.500 €,"Gondifelos, Cavalões E Outiz - 24 de julho de 2024",182 m²
Moradia T3 para venda,55.000 €,Tabuadelo E São Faustino - 24 de julho de 2024,163 m²
Moradia T0 para venda,86.900 €,Taíde - 24 de julho de 2024,120 m²
Moradia T3 para venda,184.900 €,Sobradelo da Goma - 24 de julho de 2024,158 m²
Moradia T4 para venda,244.900 €,Souto - 24 de julho de 2024,218 m²
Andar Moradia T4 em Pevidém /Selho (São Jorge),330.000 €Negociável,São Jorge (Selho) - 24 de julho de 2024,100 m²
Moradia T4 em Dume com piscina,385.000 €,"Real, Dume E Semelhe - 24 de julho de 2024",227 m²
"Moradia T3 em Sobreposta, Braga, próxima ao Sameiro",385.000 €,Sobreposta - 24 de julho de 2024,155 m²
"Duas Casas Independentes em Terreno de 2300m² em Quinchães, Fafe",144.000 €,Quinchães - 24 de julho de 2024,75 m²
